"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 03 12:20:01 IST 2023","Fri Mar 03 12:20:10 IST 2023","9289","","Web_Validation.spec.js","","","","@Web Popup validations",""
"passed","Fri Mar 03 12:20:19 IST 2023","Fri Mar 03 12:20:22 IST 2023","2807","","Web_Validation.spec.js","","","","@Web UI Controls",""
"passed","Fri Mar 03 12:20:10 IST 2023","Fri Mar 03 12:20:19 IST 2023","8563","","Web_Validation.spec.js","","","","@Web Browser Context-Validating Error login",""
